timestamp,fps,total_latency_ms,classification_ms,segmentation_ms,memory_mb,cpu_percent,flood_ratio
1779426903.8442178,2.01,526.33,166.03,219.42,633.82,61.6,0.3116
1779426904.3557525,1.88,482.57,136.12,201.26,633.13,48.1,0.3116
1779426904.870161,1.88,485.77,144.17,200.17,633.76,45.0,0.3116
1779426905.3842986,1.94,486.88,134.23,211.26,633.36,47.3,0.3116
1779426905.9604506,1.94,549.15,146.39,261.79,633.32,64.9,0.3116
1779426906.5066698,1.78,512.89,146.0,217.16,633.22,57.6,0.3116
1779426907.0260746,1.78,487.55,137.01,209.15,633.25,42.7,0.3116
1779426907.5409274,1.93,487.95,141.39,205.27,633.89,45.9,0.3116
1779426908.0574481,1.93,488.75,134.17,213.59,633.53,55.2,0.3116
1779426908.5637226,1.96,478.71,134.08,203.54,633.51,53.5,0.3116
1779426909.076834,1.96,482.86,145.52,197.16,633.4,53.6,0.3116
1779426909.580593,1.97,472.1,127.02,203.71,633.48,52.7,0.3116
1779426910.0894473,1.97,481.48,128.21,213.07,633.14,49.8,0.3116
1779426910.6002536,1.96,476.83,132.03,192.56,633.72,41.9,0.3116
1779426911.0844464,1.96,452.98,123.76,188.88,633.63,42.5,0.3116
1779426911.5583963,1.96,444.67,117.13,187.17,633.38,40.9,0.3116
1779426912.0451825,2.08,451.07,119.21,190.91,633.32,44.9,0.3116
1779426912.5463161,2.08,472.17,136.28,195.04,632.45,44.3,0.3116
1779426913.0583353,1.97,482.55,139.91,202.31,633.39,48.6,0.3116
1779426913.5509512,1.97,466.35,129.02,196.37,634.69,39.5,0.3116
1779426914.063785,1.99,485.79,142.46,200.22,634.01,42.0,0.3116
1779426914.5455363,1.99,455.12,109.09,189.93,633.72,42.5,0.3116
1779426915.0083635,1.99,433.0,105.88,186.79,633.77,43.7,0.3116
1779426915.4982688,2.09,457.63,120.53,196.27,633.7,43.9,0.3116
1779426915.98342,2.09,453.54,119.89,193.26,633.7,43.9,0.3116
1779426916.483179,2.09,470.42,124.86,204.42,633.37,38.1,0.3116
1779426916.9878,2.01,477.73,129.13,198.65,633.38,39.9,0.3116
1779426917.5085871,2.01,490.09,133.08,204.63,634.05,39.2,0.3116
1779426918.0067418,1.96,471.07,136.78,193.31,633.73,45.3,0.3116
1779426918.5305095,1.96,492.34,145.16,206.13,633.61,51.7,0.3116
1779426919.0273142,1.96,468.82,131.71,195.54,633.87,43.3,0.3116
1779426919.5349348,1.96,478.56,131.28,206.31,633.74,42.9,0.3116
