timestamp,fps,total_latency_ms,classification_ms,segmentation_ms,model_switch_latency_ms,memory_mb,cpu_percent,power_w,peak_memory_mb,peak_cpu_percent,peak_power_w,clf_load_ms,seg_load_ms,flood_ratio,warmup
1779786183.290769,24.22,40.35,14.39,25.95,40.34,1620.48,24.4,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.3697028,24.22,36.38,11.46,24.92,36.38,1620.48,24.5,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.4502046,24.22,39.93,12.12,27.81,39.93,1620.48,29.2,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.533056,24.22,41.43,15.04,26.39,41.43,1620.48,25.0,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.6082978,24.22,37.17,9.82,27.36,37.18,1620.48,32.6,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.6862373,24.22,40.21,13.48,26.74,40.22,1620.48,23.9,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.7671263,24.22,40.16,15.91,24.24,40.15,1620.48,29.8,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.8377104,24.39,35.44,9.79,25.66,35.45,1620.48,39.0,0.0,1620.49,44.7,0.0,777.0,539.96,0.3141,False
1779786183.9077709,24.39,35.79,10.46,25.34,35.8,1620.48,46.5,0.0,1620.49,46.5,0.0,777.0,539.96,0.3141,False
1779786184.510777,24.39,40.94,13.92,27.02,40.94,1620.48,43.5,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786184.6197667,24.39,64.22,26.5,37.72,64.22,1620.48,10.2,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786184.7161057,24.39,50.51,19.9,30.62,50.52,1620.48,33.3,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786184.8004541,24.39,44.35,11.81,32.53,44.34,1620.48,21.3,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786184.8939216,20.98,50.16,25.66,24.5,50.16,1620.48,31.0,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786184.9729116,20.98,39.15,10.07,29.08,39.15,1620.48,25.0,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.066933,20.98,56.84,18.35,38.49,56.84,1620.48,30.9,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.1567662,20.98,51.87,22.83,29.05,51.88,1620.48,32.7,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.231536,20.98,36.94,10.09,26.85,36.94,1620.48,25.0,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.3153613,20.98,44.57,14.96,29.61,44.57,1620.48,30.8,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.3922274,20.98,37.57,11.09,26.48,37.57,1620.48,27.3,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.4677303,20.98,37.46,10.58,26.88,37.46,1620.47,26.1,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.550841,20.98,45.02,15.52,29.51,45.03,1620.47,31.3,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.63064,20.98,36.88,11.41,25.47,36.88,1620.47,26.5,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.7145207,20.98,44.28,14.07,30.21,44.28,1620.47,25.0,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.7974832,20.98,45.91,11.87,34.04,45.91,1620.47,33.3,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
1779786185.8792922,20.98,42.84,15.41,27.42,42.83,1620.47,27.1,7.39,1620.49,46.5,7.39,777.0,539.96,0.3141,False
